fit_rank,app_id,name,release_date,genres,top_matching_tags,price_cents,price_usd,price_band,review_score,total,owners_range,owners_mid,performance_score,profile_fit_score,priority_score,evidence_tier,in_winner_cohort,in_top50_reference
37712,671490,Princess Sahirah is a Spoiled Brat!,2017-07-22,"Adventure, RPG","RPG, Adventure, Party-Based RPG, Indie",299,2.99,$0.01-4.99,0,3,"0 - 20,000",10000,-6.1828,32.49,18.81,low,0,0
37713,783180,Fairune Collection,2018-05-16,"Adventure, RPG","Singleplayer, RPG, Adventure, Loot, Indie, Exploration, 2D",999,9.99,$5-9.99,8,94,"0 - 20,000",10000,-2.7945,32.49,36.63,low,0,0
37714,875810,Salio,2019-03-22,Indie,"Difficult, Singleplayer, Adventure, Dark, Indie, Platformer, 2D",499,4.99,$0.01-4.99,7,11,"0 - 20,000",10000,-3.8075,32.49,31.3,low,0,0
37715,752800,Mysterious Realms RPG,2018-10-25,"Adventure, Indie, RPG","Turn-Based, Dungeon Crawler, RPG, Adventure, Indie",599,5.99,$5-9.99,7,48,"0 - 20,000",10000,-3.3118,32.49,33.91,low,0,0
37716,718070,AgeOfDarkness,2017-11-21,"Action, Adventure, Early Access, Gore, Indie, Violent","Gore, Violent, Action, Early Access, Adventure, Indie",199,1.99,$0.01-4.99,0,7,"0 - 20,000",10000,-5.9385,32.48,20.09,low,0,0
37717,1558130,Raige,2024-02-28,"Adventure, Indie, RPG","First-Person, Atmospheric, Post-apocalyptic, Story Rich, Singleplayer, RPG, Adventure, Dark",299,2.99,$0.01-4.99,7,18,"0 - 20,000",10000,-3.6456,32.48,32.15,low,0,0
37718,2699570,Ooga,,"Action, Indie","Fast-Paced, Level Editor, Action, Singleplayer, Adventure, Parkour, Indie, Platformer",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37719,2872720,Grandma Don't Click That!,,"Action, Indie, Simulation","Simulation, Comedy, Physics, Character Customization, Action, Singleplayer, Indie, Platformer",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37720,2904800,Blood Poker,2024-05-01,"Casual, Indie, Strategy","Gore, Blood, Horror, Strategy, Story Rich, Singleplayer, Dark, Indie",499,4.99,$0.01-4.99,7,20,"0 - 20,000",10000,-3.6103,32.48,32.33,low,0,0
37721,2615430,Witchroid Vania: A Magical Girl’s Fantastical Adventures,,"Action, Indie, RPG","Hack and Slash, Action, Singleplayer, RPG, Metroidvania, Indie, Exploration, Action RPG",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37722,1860960,Eira,2022-08-04,"Adventure, Casual, Indie, RPG","Story Rich, Singleplayer, RPG, Adventure, Indie, Exploration, Action RPG, Dark Fantasy",1999,19.99,$15-19.99,8,62,"0 - 20,000",10000,-2.9392,32.48,35.86,low,0,0
37723,1639230,MoonFall / Butterfly Lovers,2021-11-20,"Indie, RPG","Simulation, Post-apocalyptic, Story Rich, Singleplayer, RPG, 2D",1999,19.99,$15-19.99,8,127,"0 - 20,000",10000,-2.6894,32.48,37.18,low,0,0
37724,2298080,Snafu,2023-03-08,"Action, Adventure, Indie","Open World, First-Person, Horror, Atmospheric, Psychological Horror, Story Rich, Adventure, Dark",499,4.99,$0.01-4.99,8,121,"0 - 20,000",10000,-2.7063,32.48,37.09,low,0,0
37725,696630,Starlight,2021-05-19,"Action, Adventure, Casual, Early Access, Indie, RPG, Simulation","Simulation, Atmospheric, Action, Singleplayer, Early Access, RPG, Sci-fi, Adventure",999,9.99,$5-9.99,0,4,"0 - 20,000",10000,-6.1041,32.48,19.22,low,0,0
37726,257670,Elder Sign: Omens,2013-11-27,"Casual, Indie, Strategy","Horror, Lovecraftian, Strategy, Singleplayer, Indie",599,5.99,$5-9.99,6,430,"20,000 - 50,000",35000,-2.5254,32.48,38.04,low,0,0
37727,3183500,Epoch of Guardians,,"Indie, Strategy","Tactical, Roguelite, Strategy, Historical, Singleplayer, Indie, Wargame, 2D",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37728,2119370,Marine Hearts,2023-05-08,"Action, Indie","FPS, Underwater, Shooter, Action, Singleplayer, Indie, Controller",499,4.99,$0.01-4.99,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37729,2025930,Robot Revolt,2023-01-20,"Action, Casual, Early Access","Roguelite, Action, Isometric, Singleplayer, Early Access, Action Roguelike, Indie, Robots",599,5.99,$5-9.99,7,20,"0 - 20,000",10000,-3.6103,32.48,32.33,low,0,0
37730,1969260,Ewephoria,2022-12-01,Indie,"Multiplayer, Local Co-Op, Local Multiplayer, Farming Sim, Agriculture, Indie, 2D",399,3.99,$0.01-4.99,0,1,"0 - 20,000",10000,-6.427,32.48,17.52,low,0,0
37731,1470130,Dominate Square,2021-01-05,"Indie, Simulation","Simulation, Tactical, Singleplayer, Indie, Family Friendly, 2D",0,0.0,free,0,7,"50,000 - 100,000",75000,-5.449,32.48,22.67,low,0,0
37732,2765490,Healed To Death,,"Action, Adventure, Indie, RPG","Roguelite, Dungeon Crawler, Roguelike, Character Customization, Action, Procedural Generation, Singleplayer, RPG",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37733,2178030,Tesla's Puzzles of Lights,,Casual,"Difficult, Simulation, Atmospheric, Singleplayer, Science, Indie, Exploration, 2D",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37734,1003010,Clicker Warriors,2019-10-22,"Action, Adventure, Casual, Free To Play, Indie, RPG, Simulation, Strategy","Simulation, Strategy, Free to Play, Action, RPG, Adventure, Indie",0,0.0,free,5,133,"20,000 - 50,000",35000,-3.2211,32.48,34.38,low,0,0
37735,1559740,Sword and Space,2021-04-28,"Adventure, Casual, Indie, RPG","Short, Atmospheric, Historical, Story Rich, Martial Arts, Singleplayer, RPG, Adventure",499,4.99,$0.01-4.99,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37736,1300100,Spectacular Sparky,2021-10-20,"Action, Indie","Funny, Comedy, Shooter, Story Rich, Action, Singleplayer, Sci-fi, Platformer",1499,14.99,$10-14.99,8,145,"0 - 20,000",10000,-2.6431,32.48,37.42,low,0,0
37737,1119100,Hentai Vampire,2019-08-02,"Casual, Indie, RPG, Simulation","Fast-Paced, Simulation, Short, Strategy, Singleplayer, RPG, Indie, 2D",99,0.99,$0.01-4.99,6,61,"0 - 20,000",10000,-3.5129,32.48,32.85,low,0,0
37738,881910,The Battle Of Ages,2018-09-07,"Action, Early Access, Indie, Massively Multiplayer, RPG","Massively Multiplayer, Action, Early Access, RPG, Indie",499,4.99,$0.01-4.99,0,3,"0 - 20,000",10000,-6.1828,32.48,18.81,low,0,0
37739,1111600,Klang 2,2021-10-20,"Action, Indie","Great Soundtrack, Atmospheric, Music, Story Rich, Rhythm, Action, Singleplayer, Sci-fi",374,3.74,$0.01-4.99,8,58,"0 - 20,000",10000,-2.9623,32.48,35.74,low,0,0
37740,1508370,Hisato no Saku,2021-09-17,"Indie, RPG, Simulation","Simulation, Historical, Martial Arts, Singleplayer, RPG, Indie, 2D",499,4.99,$0.01-4.99,0,9,"0 - 20,000",10000,-5.8599,32.48,20.51,low,0,0
37741,3155270,Nakamon,,"Action, Adventure, Indie, RPG, Strategy","Strategy, Story Rich, Action, Singleplayer, RPG, Adventure, Indie, Exploration",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37742,1839870,unHappy Hour,,"Action, Casual, Indie, Simulation","Co-op, Local Co-Op, Management, Local Multiplayer, Simulation, Singleplayer, 2D",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37743,1872790,Luckitown,2022-01-19,"Indie, Simulation, Strategy","City Builder, Simulation, Resource Management, Strategy, Singleplayer, Indie, 2D",499,4.99,$0.01-4.99,8,231,"20,000 - 50,000",35000,-2.1756,32.48,39.88,low,0,0
37744,1785700,Girls Gym,2021-10-25,"Adventure, Indie","First-Person, Mature, Singleplayer, Adventure, Indie",99,0.99,$0.01-4.99,5,23,"0 - 20,000",10000,-4.1313,32.48,29.59,low,0,0
37745,1794920,Pool Adventure,2021-11-07,"Adventure, Indie","First-Person, Mature, Singleplayer, Adventure, Indie",49,0.49,$0.01-4.99,5,22,"0 - 20,000",10000,-4.1463,32.48,29.52,low,0,0
37746,2344620,Sculpture of Chance,,"Indie, Strategy","Roguelite, Strategy, Roguelike, Procedural Generation, Singleplayer, Loot, Indie, Deckbuilding",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37747,1917350,Mysterious Island - A Hidden Object Adventure,2022-03-26,"Adventure, Indie","Atmospheric, Music, Story Rich, Singleplayer, Adventure, Indie",159,1.59,$0.01-4.99,5,32,"0 - 20,000",10000,-4.0191,32.48,30.18,low,0,0
37748,2072040,Azrael,2022-07-21,"Adventure, Indie","Short, Story Rich, Singleplayer, Adventure, Dark, Indie, Mystery, 2D",99,0.99,$0.01-4.99,6,11,"0 - 20,000",10000,-4.0915,32.48,29.8,low,0,0
37749,1537980,Myriavora,2021-07-05,"Action, Early Access, Indie","Crafting, Roguelite, Roguelike, Character Customization, Shooter, Action, Singleplayer, Early Access",1299,12.99,$10-14.99,7,10,"0 - 20,000",10000,-3.8382,32.48,31.14,low,0,0
37750,2186320,Ages of Conflict: World War Simulator,2023-02-17,"Casual, Early Access, Indie, Simulation","Sandbox, Simulation, Level Editor, Historical, Singleplayer, Early Access, Wargame",699,6.99,$5-9.99,9,3358,"200,000 - 500,000",350000,-0.3905,32.48,49.26,medium,0,0
37751,2827720,The Drylands,,"Action, Adventure, Indie, RPG","Replay Value, Blood, Roguelite, Post-apocalyptic, Action, Procedural Generation, Singleplayer, RPG",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37752,2119850,Maki: Paw of Fury,,"Action, Adventure, Casual, Indie","Co-op, Local Co-Op, Funny, Party Game, Fighting, Action, Singleplayer, Indie",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37753,2835620,Ainsley,,"Casual, Indie","Building, Crafting, First-Person, Horror, Psychological Horror, Dark Humor, Realistic, Story Rich",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.48,16.24,low,0,0
37754,2779930,Demons and Doobins,2024-02-21,"Casual, Indie","Multiplayer, Funny, Horror, Stealth, Indie, 2D",499,4.99,$0.01-4.99,0,2,"0 - 20,000",10000,-6.2841,32.48,18.28,low,0,0
37755,409380,Among the Heavens,2015-11-06,"Casual, Simulation","Simulation, Singleplayer, Adventure, Indie, Family Friendly",299,2.99,$0.01-4.99,8,293,"20,000 - 50,000",35000,-2.0921,32.47,40.31,low,0,0
37756,2680310,Oriental Gold : Golden Trains Edition - Slots,2023-11-21,"Casual, Indie, Simulation","Simulation, Atmospheric, Singleplayer, PvP, Indie, 2D",1099,10.99,$10-14.99,0,0,"0 - 20,000",10000,-6.6712,32.47,16.23,low,0,0
37757,1785420,Orten Was The Case,2023-11-29,"Adventure, Indie","Open World, Horror, Dark Humor, Story Rich, Adventure, Metroidvania, Exploration, Mystery",1499,14.99,$10-14.99,8,112,"20,000 - 50,000",35000,-2.429,32.47,38.54,low,0,0
37758,1442670,Hamster Playground,2024-07-11,"Casual, Free To Play, Indie, Racing, Simulation","Multiplayer, Building, Simulation, Comedy, Character Customization, Isometric, Platformer, Family Friendly",0,0.0,free,8,1863,"0 - 20,000",10000,-1.7457,32.47,42.13,medium,0,0
37759,2613940,Growers,2023-10-13,"Casual, Indie","Multiplayer, Funny, Local Multiplayer, 4 Player Local, PvP, Indie, Platformer, Family Friendly",399,3.99,$0.01-4.99,0,0,"0 - 20,000",10000,-6.6712,32.47,16.23,low,0,0
37760,863430,One Person Story,2018-08-23,"Action, Casual, Indie","Addictive, Atmospheric, Story Rich, Action, Singleplayer, Adventure, Indie, 2D",499,4.99,$0.01-4.99,7,21,"0 - 20,000",10000,-3.594,32.47,32.41,low,0,0
37761,1520440,Himig,,"Adventure, Indie, Simulation","Simulation, Short, Story Rich, Singleplayer, Adventure, Indie, Family Friendly, Exploration",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.47,16.23,low,0,0
37762,2949250,Towerful Defense: Prologue,2024-05-08,"Action, Casual, Free To Play, Indie, RPG, Strategy","Survival, Roguelite, Strategy, RTS, Action, Singleplayer, RPG, Action Roguelike",0,0.0,free,8,73,"0 - 20,000",10000,-2.8825,32.47,36.16,low,0,0
37763,2156810,Rhythm Bang,2024-06-11,"Casual, Early Access","Music, Rhythm, Singleplayer, Early Access, Indie, 2D",999,9.99,$5-9.99,0,4,"0 - 20,000",10000,-6.1041,32.47,19.22,low,0,0
37764,1802720,Sixtar Gate: STARTRAIL,2021-11-06,"Action, Casual, Early Access, Indie","Music, Rhythm, Action, Singleplayer, Early Access, Indie, 2D",2499,24.99,$20-29.99,8,1349,"100,000 - 200,000",150000,-1.2016,32.47,44.99,medium,0,0
37765,2203500,Cars vs Train,2023-01-09,"Adventure, Indie, Racing, Simulation","First-Person, Simulation, Realistic, Character Customization, Singleplayer, Automobile Sim, Adventure, Indie",99,0.99,$0.01-4.99,6,60,"0 - 20,000",10000,-3.5186,32.47,32.81,low,0,0
37766,1612900,Two Against the Legion,2022-03-06,"Action, Adventure, Casual, Indie","Co-op, Multiplayer, Local Multiplayer, Atmospheric, Split Screen, Adventure, Family Friendly, Third Person",0,0.0,free,7,13,"50,000 - 100,000",75000,-3.2637,32.47,34.15,low,0,0
37767,1678050,Runic Relay: The Trials,2024-04-04,"Action, Indie, Racing","First-Person, Free to Play, Action, Singleplayer, Dark, Medieval, Parkour, Indie",0,0.0,free,7,18,"0 - 20,000",10000,-3.6456,32.47,32.14,low,0,0
37768,1727930,Gorge,2021-10-02,"Action, Indie","First-Person, Short, Atmospheric, Physics, Action, Singleplayer, Parkour, Indie",0,0.0,free,8,71,"0 - 20,000",10000,-2.8922,32.47,36.11,low,0,0
37769,658550,Zup! Zero 2,2018-09-11,"Casual, Indie","Difficult, Addictive, Fast-Paced, Short, Physics, Action, Singleplayer, Indie",199,1.99,$0.01-4.99,8,1168,"100,000 - 200,000",150000,-1.2523,32.47,44.73,medium,0,0
37770,665780,Juke,2018-05-09,Indie,"Difficult, Singleplayer, Indie, Platformer, 2D",99,0.99,$0.01-4.99,0,1,"0 - 20,000",10000,-6.427,32.47,17.52,low,0,0
37771,898400,The Misadventures of Botsworth,2018-08-07,Indie,"Difficult, Singleplayer, Indie, Platformer, 2D",199,1.99,$0.01-4.99,0,0,"0 - 20,000",10000,-6.6712,32.47,16.23,low,0,0
37772,1696150,Lovers in the Lunar Labyrinth,,"Action, Indie, RPG","Crafting, Hack and Slash, Atmospheric, Roguelite, Character Customization, Action, RPG, Sci-fi",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.47,16.23,low,0,0
37773,551680,Bad birthday,2016-11-11,"Adventure, Indie","Horror, Psychological Horror, Action, Stealth, Adventure, Indie, Zombies",0,0.0,free,5,33,"0 - 20,000",10000,-4.0086,32.47,30.23,low,0,0
37774,2392960,Goblin Survivors,,"Action, Adventure, Indie","Survival, Roguelite, Action, Singleplayer, Adventure, Action Roguelike, Indie, Exploration",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.47,16.23,low,0,0
37775,1330010,RetroBound,2020-09-11,"Adventure, Casual, Indie, RPG, Strategy","Great Soundtrack, Strategy, Singleplayer, RPG, Adventure, Indie",99,0.99,$0.01-4.99,0,3,"0 - 20,000",10000,-6.1828,32.47,18.8,low,0,0
37776,1266820,Ultimate ADOM - Caverns of Chaos,2021-08-25,"Indie, RPG, Strategy","Dungeon Crawler, Strategy, Roguelike, Character Customization, RPG, Adventure, Indie, CRPG",1999,19.99,$15-19.99,5,476,"50,000 - 100,000",75000,-2.5885,32.47,37.7,low,0,0
37777,1406990,NEKOPARA Vol. 4,2020-11-26,"Adventure, Casual, Indie","First-Person, Comedy, Souls-like, Story Rich, Mature, Dating Sim, Singleplayer, Adventure",999,9.99,$5-9.99,9,8457,"200,000 - 500,000",350000,-0.0652,32.47,50.97,high,0,0
37778,1146390,Where Are We Now,2019-09-06,"Adventure, Indie, RPG","Atmospheric, RPG, Adventure, Indie",999,9.99,$5-9.99,0,8,"0 - 20,000",10000,-5.8971,32.47,20.31,low,0,0
37779,2651950,Australian maze,2023-11-04,"Action, Adventure, Indie","Survival, Horror, Action, Singleplayer, Adventure, Indie, Exploration, 2D",299,2.99,$0.01-4.99,0,0,"0 - 20,000",10000,-6.6712,32.47,16.23,low,0,0
37780,1954680,Story in the Dream World 3 -Sinister Island's Mysterious Mist-,2024-01-11,Indie,"Shooter, Singleplayer, Dark, Indie, Mystery, 2D",899,8.99,$5-9.99,0,1,"0 - 20,000",10000,-6.427,32.47,17.52,low,0,0
37781,513740,Joana's Life,2016-09-01,"Adventure, Indie","First-Person, Horror, Psychological Horror, Adventure, Indie, Mystery",199,1.99,$0.01-4.99,4,216,"200,000 - 500,000",350000,-2.7759,32.47,36.72,low,0,0
37782,2621150,Lizard Survivors: Battle for Hyperborea,2023-11-16,"Action, Casual, Indie, RPG","Funny, Hack and Slash, Roguelite, Shooter, Action, Procedural Generation, Singleplayer, RPG",99,0.99,$0.01-4.99,8,1287,"100,000 - 200,000",150000,-1.2181,32.47,44.91,medium,0,0
37783,1136330,Hazumi and the Pregnation,2020-02-20,"Indie, RPG","Psychological Horror, Mature, RPG, Indie",1199,11.99,$10-14.99,8,234,"0 - 20,000",10000,-2.4754,32.47,38.3,low,0,0
37784,1501490,Ship Handling Simulator,2021-01-03,"Indie, Simulation","Simulation, Singleplayer, Indie, Exploration, Education",899,8.99,$5-9.99,8,104,"0 - 20,000",10000,-2.7592,32.47,36.8,low,0,0
37785,3034350,Niraya of ■■,,"Action, Adventure, Indie","Horror, Atmospheric, Story Rich, Action, Singleplayer, Adventure, Indie, Third Person",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.47,16.23,low,0,0
37786,2505250,Jett Rider,2024-01-25,"Action, Adventure, Indie","Shooter, Story Rich, Action, Singleplayer, Sci-fi, Adventure, Indie, Platformer",1299,12.99,$10-14.99,8,50,"0 - 20,000",10000,-3.0137,32.47,35.47,low,0,0
37787,863970,Survive the Rift,2021-04-15,"Action, Early Access, Indie","Roguelite, Roguelike, Shooter, Action, Procedural Generation, Singleplayer, Early Access, Sci-fi",1499,14.99,$10-14.99,7,10,"0 - 20,000",10000,-3.8382,32.47,31.13,low,0,0
37788,1591490,Distant Memoraĵo,2021-07-15,"Adventure, Indie","Story Rich, Singleplayer, Adventure, Indie, 2D, Education",1999,19.99,$15-19.99,8,157,"0 - 20,000",10000,-2.6152,32.47,37.56,low,0,0
37789,1977610,Long Gone,,"Adventure, Indie","Gore, Comedy, Violent, Post-apocalyptic, Story Rich, Singleplayer, Adventure, Platformer",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.47,16.23,low,0,0
37790,1280310,Axizon Labs: Zombies,2020-05-08,"Action, Casual, Indie","Gore, War, Horror, Violent, Post-apocalyptic, Shooter, Action, Singleplayer",399,3.99,$0.01-4.99,0,5,"0 - 20,000",10000,-6.0399,32.47,19.55,low,0,0
37791,2265190,Tactics Greed,2024-07-24,"Action, Casual, Indie, Simulation, Strategy","Roguelite, Split Screen, Strategy, Roguelike, Character Customization, Swordplay, RTS, PvP",999,9.99,$5-9.99,7,25,"0 - 20,000",10000,-3.5351,32.47,32.72,low,0,0
37792,1389170,The lost artifacts,2020-10-07,"Adventure, Indie, RPG","Building, Crafting, Atmospheric, Singleplayer, RPG, Adventure, Indie, CRPG",599,5.99,$5-9.99,0,1,"0 - 20,000",10000,-6.427,32.47,17.52,low,0,0
37793,2373960,Borderline Homicide,2023-04-14,"Adventure, Indie, Simulation","Simulation, Singleplayer, Adventure, Indie, Exploration, Mystery",99,0.99,$0.01-4.99,0,4,"0 - 20,000",10000,-6.1041,32.47,19.22,low,0,0
37794,713840,Goblin Storm,2017-12-19,"Indie, Strategy","Strategy, Indie",1199,11.99,$10-14.99,0,9,"0 - 20,000",10000,-5.8599,32.47,20.5,low,0,0
37795,799670,Volantia,2018-05-03,"Indie, Strategy","Strategy, Indie",1299,12.99,$10-14.99,5,18,"0 - 20,000",10000,-4.2137,32.47,29.16,low,0,0
37796,386740,Puzzle Strike,2015-12-21,"Indie, Strategy","Strategy, Indie",1499,14.99,$10-14.99,8,50,"0 - 20,000",10000,-3.0137,32.47,35.47,low,0,0
37797,2218930,Shut Up and Dance: Special Edition,2024-05-30,"Adventure, Early Access, Indie","Realistic, Story Rich, Mature, Dating Sim, Singleplayer, Early Access, Adventure, Crime",1799,17.99,$15-19.99,8,143,"0 - 20,000",10000,-2.6479,32.47,37.39,low,0,0
37798,2789760,The Luckiest in the Megaverse,,"Casual, Indie","Memes, Funny, Atmospheric, Roguelite, Roguelike, Singleplayer, Science, Indie",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,32.47,16.23,low,0,0
